"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1990",0.000004107636265992,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1991",27.8084010802765,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1992",26.2781655161047,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1993",26.2444784528083,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1994",25.5412444303129,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1995",25.4075550612187,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1996",27.3287113750045,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1997",28.8736984174652,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1998",26.6533485571559,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1999",27.9816648400942,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2000",26.4118743903034,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2001",24.5113309202107,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2002",25.1667356792547,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2003",25.8618825309799,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2004",28.6196987396852,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2005",27.1085763022828,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2006",26.9678637133422,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2007",24.1313091287472,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2008",23.3314770237947,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2009",23.4665419553831,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2010",25.3494415923629,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2011",23.3475804406547,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2012",22.5152237846234,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2013",23.8510575944503,
